email_extension,org_id,stock_ticker,stock_id,filer_id,bio,org_type
solelpartners.com,75b97ec2-ddb1-4a7a-b97a-359d9658e97d,Unknown,0.0,463912.0,"Solel Partners is a hedge fund manager based in Boston, Massachusetts. Founded in Q3 2019 by Craig Peskin and Peter Fleiss, former managing directors at Highfields Capital Management, the firm follows a value-oriented investment strategy. Solel Partners seeks globally attractive assets trading at a significant discount to their intrinsic value or offering a clear catalyst to close that discount. The firm manages discretionary assets across multiple clients and focuses on various sectors, including healthcare and consumer cyclical. Solel Partners is registered with the SEC and operates from its office at 699 Boylston Street.",INSTITUTIONAL_INVESTOR
alvariuminvestments.com,3b92ee8f-9761-484b-ae78-2f3d30eb19dd,ALTI,6941.0,1431.0,"AlTi Global, Inc. is a publicly traded international wealth management and alternative investments firm formed in 2023 through the merger of Tiedemann Group and Alvarium Investments. The company operates under the AlTi Tiedemann Global brand, offering wealth management services, alternative investments, and merchant banking solutions. With a global presence across four continents, AlTi serves high-net-worth individuals, families, foundations, and institutions. The firm has a strong focus on impact and values-aligned investing. AlTi is headquartered in New York and is listed on NASDAQ under the ticker symbol ""GLBL"".",PUBLIC_COMPANY
aprio.com,16315875-6b1e-4adf-90c1-c6f16892bc16,Unknown,0.0,463917.0,"Aprio is a premier business advisory and accounting firm headquartered in Atlanta, Georgia. Founded in 1952, the company provides a wide range of services including advisory, audit, tax, outsourcing, and talent solutions. Aprio serves clients across various industries such as manufacturing, non-profit, real estate, technology, and professional services. The firm has experienced significant growth, ranking among the top accounting firms in the United States. With over 1,800 team members speaking more than 60 languages, Aprio serves clients in all 50 states and over 50 countries worldwide. The company operates under two entities: Aprio, LLP and Aprio Advisory Group, LLC.",INSTITUTIONAL_INVESTOR
ctcmycfo.com,259600df-96b9-4117-ad22-2fa07dea2528,Unknown,0.0,336130.0,"BMO Family Office is an integrated wealth management provider serving ultra-affluent individuals, families, and family offices. Established as part of BMO Wealth Management, the firm offers comprehensive services across tax, estate, investment, philanthropic, risk, and family capital needs. BMO Family Office employs a team of experienced professionals, including directors of investment advisory services and private wealth advisors. The company provides tailored solutions such as capital advisory, fiduciary services, family enterprise advisory, and investment management. BMO Family Office focuses on developing customized strategies to help clients achieve their financial goals and manage substantial wealth across generations.",INSTITUTIONAL_INVESTOR
boeing.com,c2696c82-1847-4cef-9665-6f893006579e,BA,210.0,35.0,"Boeing Company (The) is a leading global aerospace manufacturer founded in 1916. Headquartered near Washington, D.C., Boeing designs, produces, and services commercial airplanes, defense products, and space systems. The company operates through three main segments: Commercial Airplanes, Defense, Space & Security, and Global Services. Boeing is one of the largest U.S. exporters, serving customers in over 150 countries. With a workforce of more than 170,000 employees worldwide, the company leverages a global supplier base to drive innovation in aerospace technology. Boeing's product line includes popular commercial aircraft like the 737, 777, and 787 families.",PUBLIC_COMPANY
bci.ca,3fa71f75-0285-4496-80cb-8f9c0a2959c4,Unknown,0.0,76099.0,"British Columbia Investment Management Corporation (BCI) is a leading institutional investor in Canada, providing investment management services to British Columbia's public sector. Founded in 1999, BCI manages a diverse portfolio of public and private market investments globally. The corporation serves 29 clients, including pension plans, insurance funds, and special purpose funds. BCI operates independently, governed by a seven-member board. With offices in Victoria, Vancouver, New York City, and London, BCI focuses on generating long-term returns while integrating environmental, social, and governance (ESG) factors into its investment decisions. The corporation operates on a cost recovery model and is accountable to its clients.",INSTITUTIONAL_INVESTOR
constellation.com,046e5279-6ab3-4777-b017-e92e408203ca,CEG,3591.0,1022.0,"Constellation Energy Group is the largest producer of carbon-free energy in the United States. Headquartered in Baltimore, Maryland, the company operates a diverse fleet of nuclear, wind, solar, hydroelectric, and natural gas facilities with a total generation capacity exceeding 32,400 megawatts. Constellation supplies power and energy products to millions of homes and businesses, including three-quarters of Fortune 100 companies. The company is committed to sustainability, aiming for 100% clean electricity generation by 2040. Constellation also offers retail energy services, including renewable energy solutions, and serves customers across 48 U.S. states, the District of Columbia, and Canada.",PUBLIC_COMPANY
cressetcapital.com,d5426ffd-18c3-4096-a832-43c32ff72d2d,Unknown,0.0,431458.0,"Cresset is an independent, multi-family office and private investment firm founded with the goal of reinventing wealth management for ultra-high-net-worth families. The company offers personalized wealth management, investment advisory, and family office services through Cresset Asset Management, an SEC-registered investment advisor. Cresset Partners provides investment advisory services for private equity, real estate, and other alternative investments. Founded by entrepreneurs, Cresset aims to provide access to institutional-quality investment opportunities typically available only to large single-family offices and endowments. The firm is recognized as a top RIA by publications like Barron's and Forbes.",INSTITUTIONAL_INVESTOR
curicapital.com,acecfaee-b257-42cc-bf4f-d248f6121481,Unknown,0.0,2451.0,"Curi RMB Capital is a registered investment advisory firm formed in 2024 through the merger of Curi Capital and RMB Capital. Headquartered in Chicago with offices across the United States, the firm provides comprehensive wealth management, investment solutions, and financial planning services to high-net-worth individuals, families, and institutions. Curi RMB Capital offers a range of services including portfolio management, retirement planning, and family office services. The firm operates on a fee-based model and is known for its client-centric approach, combining the expertise and resources of its predecessor companies to deliver tailored financial strategies to its diverse client base.",INSTITUTIONAL_INVESTOR
cvshealth.com,44a289d9-4e69-45ab-9626-51fc8730f4de,CVS,221.0,35.0,"CVS Health is a leading healthcare company in the United States. Founded in 1963, it operates a nationwide network of retail pharmacies, walk-in clinics, and provides pharmacy benefit management services. The company's main segments include CVS Pharmacy, CVS Caremark, and Aetna. CVS Health has expanded its healthcare offerings through strategic acquisitions, including the purchase of Aetna in 2018. With a focus on integrated healthcare delivery, the company aims to improve access to care, reduce costs, and enhance health outcomes for consumers. CVS Health is headquartered in Woonsocket, Rhode Island, and is listed on the New York Stock Exchange.",PUBLIC_COMPANY
